dataset,map4,morgan,ap
COX-2,0.5060247171387027,0.5496803417262754,0.5627186544180864
COX-2,0.4742302083566934,0.5067414397838943,0.5079812810381914
COX-2,0.5337249756757652,0.5751436324156802,0.5855720885017124
COX-2,0.5184136866082073,0.5604891544410281,0.5926842776913701
COX-2,0.5251596847558595,0.5669940189804019,0.5666415160609317
Glucocorticoid,0.5967593456672188,0.6805652196614317,0.6974854790714405
Glucocorticoid,0.5885447620705991,0.6518117195579987,0.6556976972529489
Glucocorticoid,0.5753012728447711,0.6487411917476164,0.6577450228228542
Glucocorticoid,0.5962925051587977,0.6407346418280497,0.6644380498566207
Glucocorticoid,0.5795883059308602,0.6845619850854647,0.6816232068491894
opioid,0.6941174563180527,0.7249308574172545,0.7316526553350161
opioid,0.608431778324605,0.6943091004386587,0.6923304591351322
opioid,0.650263995295128,0.682499428869935,0.6923820357160978
opioid,0.6753617916508499,0.6764039847858805,0.6869379204470603
opioid,0.6554113032235895,0.7012227136202942,0.6960236514713702
COX-1,0.34114078415355387,0.4398087263734839,0.47045472241664765
COX-1,0.2900650750446172,0.35110011406129416,0.3709742253465479
COX-1,0.3314854028319266,0.40620290399577974,0.3985711971876298
COX-1,0.34754853078812953,0.39196195232040365,0.41222446634411425
COX-1,0.25011929645470987,0.3693980089300761,0.3460605710853688
Carbonic,0.6978636327687557,0.715070614512395,0.7292406796912478
Carbonic,0.7598658567748267,0.7986159223588771,0.7945436920561708
Carbonic,0.7391195452932808,0.7708748105535055,0.7887976783228388
Carbonic,0.75883672200044,0.7995641350386506,0.8074323550875213
Carbonic,0.8033222599066889,0.8243963913611344,0.8355438029868174
Vanilloid,0.4376700955265238,0.46299151517064485,0.4692113334259642
Vanilloid,0.45399550831732716,0.5080877912095728,0.512233722843779
Vanilloid,0.4137455813555111,0.46026062134592005,0.4812141877447318
Vanilloid,0.43251606934281406,0.49430893944232523,0.497295441575321
Vanilloid,0.40033588454815117,0.4447239697132972,0.4327188646003397
JAK2,0.611125405875037,0.7006170576018822,0.6925589363007282
JAK2,0.6194645657664618,0.711073265908333,0.7102169703723236
JAK2,0.620877388929244,0.7023376652414584,0.7049639327334933
JAK2,0.6337044216693819,0.7146385535674915,0.6938977719964137
JAK2,0.6178118653316423,0.7124447984711832,0.685201131351038
Acetylcholinesterase,0.5823442865586486,0.6820442213046547,0.6894210573890001
Acetylcholinesterase,0.6281607158926343,0.7069695361051143,0.7233039500696916
Acetylcholinesterase,0.5963758588932848,0.684930075342516,0.7080812885933012
Acetylcholinesterase,0.5845298046867139,0.6661858964523755,0.6862196271550792
Acetylcholinesterase,0.6127068276309844,0.7024450401542615,0.7131696620465298
Coagulation,0.5240514889701278,0.6141025549335044,0.6154850335697191
Coagulation,0.5078616598155017,0.5753057779604402,0.586260424228259
Coagulation,0.5119637524751094,0.5902257316977519,0.586364576858095
Coagulation,0.5291372006037408,0.6322785276058663,0.6262580687260997
Coagulation,0.47419399400006124,0.5607077047498437,0.5851803323355231
Glycogen,0.4964160362269868,0.5548934723601308,0.5892409624362878
Glycogen,0.5055335462913774,0.5632124356896098,0.5788529324858593
Glycogen,0.5246399316332728,0.5837446326627842,0.5919112470454576
Glycogen,0.513938028804833,0.6129076114352567,0.6145347150026266
Glycogen,0.4984680170442001,0.6049755696753102,0.6129577706866808
erbB1,0.6841241496502029,0.7508148760690883,0.7414330034794943
erbB1,0.6836985606342092,0.7448098628055104,0.7377641676764011
erbB1,0.6688592069516655,0.7353780945136235,0.7268258134598511
erbB1,0.6896066017348006,0.7441914207760627,0.7380782239182004
erbB1,0.6802443570777168,0.7242682076518099,0.7217396002443783
Ephrin,0.5066549587857005,0.6136212313065241,0.6029761670362763
Ephrin,0.5370097553355995,0.6258662396026475,0.6450353315231641
Ephrin,0.5618937088564879,0.6155463710435536,0.6504213774302761
Ephrin,0.4903035739974191,0.5751363740705948,0.5923902929800597
Ephrin,0.4679786189879023,0.6002290836078271,0.6050459558542067
ABL1,0.4916252994975444,0.6015773178634094,0.6274838712809233
ABL1,0.585549304973495,0.6297412719814177,0.6378490816110961
ABL1,0.5133961742142785,0.6131273320086041,0.6305802849347306
ABL1,0.599330134885733,0.6651659158190998,0.6888183404419601
ABL1,0.47454480976894775,0.5594301707610378,0.57883144977428
Monoamine,0.484033218354879,0.567092274342986,0.5758362376305974
Monoamine,0.5315416807386981,0.6134014808585322,0.5992439667672336
Monoamine,0.5483221645011875,0.6324163732137769,0.6698863250968143
Monoamine,0.48417137924405107,0.5908295486296959,0.6001261961268883
Monoamine,0.6119684666654794,0.6740328170751733,0.6911710853803311
LCK,0.5554371733178903,0.6371908143970638,0.6218359381238151
LCK,0.5565829955154895,0.631996982708495,0.6357340493549349
LCK,0.6016315353243167,0.6361264532437816,0.64883783811332
LCK,0.524430245562959,0.6311723166259575,0.620495653987637
LCK,0.5774189746585987,0.6576276718107807,0.6576134193980626
Estrogen,0.7197332384485262,0.7705379528236763,0.7911231688899794
Estrogen,0.727237264306656,0.7829870629228747,0.7998643008812251
Estrogen,0.6979439419713028,0.7603052645725175,0.7639407897327857
Estrogen,0.7429227174103024,0.7572143807938703,0.7841724640371848
Estrogen,0.6976416950101982,0.7265460088881693,0.7598860691602074
B-raf,0.7098776613430041,0.7660849170924006,0.7693527337378493
B-raf,0.744114320726494,0.7789293351536746,0.7787112139121405
B-raf,0.72376654444598,0.7630399915937857,0.7686783192505063
B-raf,0.7008230527380827,0.7599144053105251,0.749432617772953
B-raf,0.73672657497697,0.7590531433444921,0.782915943762193
Cannabinoid,0.6090599084265391,0.6807049649380836,0.6372902112191896
Cannabinoid,0.5765237471755771,0.6338269565134906,0.6175118982798466
Cannabinoid,0.5805341759722936,0.6566463777874678,0.63248037847991
Cannabinoid,0.5979775886734235,0.6389778773433101,0.6734290772890155
Cannabinoid,0.6767542837833943,0.7047318827032505,0.6998137405212006
Aurora-A,0.641026798156004,0.7071046158799811,0.7144813074675568
Aurora-A,0.6678457116505613,0.7178689682732378,0.7291829127378908
Aurora-A,0.6309213957558979,0.6979781852662114,0.699821497471883
Aurora-A,0.6663317192981013,0.7063119873268884,0.7246727885304505
Aurora-A,0.6368672780014967,0.716144476747097,0.7140899085387186
A2a,0.7292495576792644,0.7379823674226169,0.7260602337180899
A2a,0.3890838738018677,0.39979710776212596,0.45300732844466396
A2a,0.6244545901135774,0.6512665063265265,0.6782558530627284
A2a,0.56700587238086,0.5780711977158315,0.6057877719633082
A2a,0.7893057183458683,0.8773010483169588,0.8424801796153747
HERG,0.4307413002648043,0.538613634106353,0.5706654293812196
HERG,0.4458310620521677,0.5439322097841586,0.5442486800647027
HERG,0.44586130934594326,0.5699436071184795,0.6043396856147618
HERG,0.44895609537409653,0.5624020303688413,0.5951045290515369
HERG,0.44351914342867516,0.5555229901346792,0.5848698152177344
Caspase,0.7942945390710362,0.8369253088142709,0.8219614573850327
Caspase,0.8249501447330942,0.8525734101764836,0.8465524951009402
Caspase,0.8235758556440214,0.8642603559483704,0.8491017381927948
Caspase,0.8205330421620186,0.8589573093980636,0.8410460583548021
Caspase,0.8103624542311566,0.8583871627944105,0.8504572676311741
Dihydrofolate,0.447278917803292,0.4482465149006405,0.44185354499059604
Dihydrofolate,0.4170629321242575,0.40810860506524504,0.4334986688381627
Dihydrofolate,0.5314156966700236,0.5706891557825813,0.541085242906248
Dihydrofolate,0.48240590360465896,0.5733929506757487,0.5540887903984747
Dihydrofolate,0.5734483562406667,0.573267100879348,0.6175767027188217
Dopamine,0.5183086124305605,0.6161601652615083,0.6657643255212078
Dopamine,0.46518539404917314,0.5212019358929351,0.5192836053571956
Dopamine,0.5028782282275814,0.615989126208664,0.6301559240891266
Dopamine,0.41547103021284537,0.49336770097658267,0.4698096920364283
Dopamine,0.43535837525967225,0.5591518826208229,0.5355054935265268
